,Estación,Código,Departamento,Municipio,Latitude,Longitude,Altitude,Tipo
0,AMATITLÁN,INS011401AT,Guatemala,Amatitlán,14.46785,-90.63039,1205,automática
1,ANTIGUA GUATEMALA,INS030101AT,Sacatepéquez,Antigua Guatemala,14.53974,-90.7383,1539,automática
2,CONCEPCIÓN,INS050101AT,Escuintla,Escuintla,14.32352,-90.78758,421,automática
3,IXCHIGUÁN,INS122301AT,San Marcos,Ixchiguán,15.16483,-91.9395,3336,automática
4,JALAPA,INS210101AT,Jalapa,Jalapa,14.59639,-89.96739,1352,automática
5,LA REFORMA,INS122101AT,San Marcos,La Reforma,14.8,-91.8167,1133,automática
6,LO DE COY,INS010801AT,Guatemala,Mixco,14.62109,-90.59922,1686,automática
7,MARISCOS,INS180501AT,Izabal,Izabal,15.42866,-89.07781,16,automática
8,MORALES MET,INS180401AT,Izabal,Morales,15.478211,-88.823711,123,automática
9,PACHUTÉ,INS090401AT,Quetzaltenango,San Carlos Sija,14.98341,-91.57365,2682,automática
10,PLAYA GRANDE MET (IXCAN),INS142201AT,Quiché,Ixcán,15.98888,-90.74017,186,automática
11,SAN JOSÉ PINULA,INS010301AT,Guatemala,San José Pinula,14.52392,-90.39191,1744,automática
12,SAN PEDRO AYAMPUC,INS010701AT,Guatemala,San Pedro Ayampuc,14.7834166,-90.4500096,1269,automática
13,SANTA CRUZ QUICHÉ,INS140101AT,Quiché,Santa Cruz del Quiché,15.05016,-91.15395,2082,automática
14,SANTA MARGARITA,INS040801AT,Chimaltenango,Pochuta,14.50575,-91.01144,1137,automática
15,TOTONICAPÁN,INS080101AT,Totonicapán,Totonicapán,14.91082,-91.36441,2478,automática
0,ALAMEDA ICTA,INS040101CV,Chimaltenango,Chimaltenango,14.637936,-90.8,1750,convencional
1,ASUNCIÓN MITA R.H.,INS220501CV,Jutiapa,Asunción Mita,14.335447,-89.71,478,convencional
2,CAMOTÁN,INS200501CV,Chiquimula,Camotán,14.821751,-89.37,450,convencional
3,CATARINA,INS121601CV,San Marcos,Catarina,14.856361,-92.07,233,convencional
4,CHAMPERICO FEGUA,INS110701CV,Retalhuleu,Champerico,14.29397,-91.91,5,convencional
5,CHINIQUE,INS140301CV,Quiché,Chinique,15.04675,-91.02,1880,convencional
6,CHIXOY PCH,INS141901CV,Quiché,Chicamán,15.357893,-90.66,680,convencional
7,COBÁN,INS160101CV,Alta Verapaz,Cobán,15.46992,-90.41,1323,convencional
8,CUBULCO,INS150401CV,Baja Verapaz,Cubulco,15.109023,-90.62,994,convencional
9,EL CAPITÁN,INS071301CV,Sololá,San Lucas Tolimán,14.644497,-91.14,1562,convencional
10,EL TABLÓN,INS070101CV,Sololá,Sololá,14.7902778,-91.18,2397,convencional
11,ESQUIPULAS,INS200701CV,Chiquimula,Esquipulas,14.559694,-89.34,950,convencional
12,FLORES AEROPUERTO,INS170101CV,Petén,Flores,16.916093,-89.87,123,convencional
13,HUEHUETENANGO,INS130101CV,Huehuetenango,Huehuetenango,15.31828,-91.5,1870,convencional
14,INSIVUMEH,INS010101CV,Guatemala,Guatemala,14.587267,-90.53,1502,convencional
15,LA AURORA,INS010102CV,Guatemala,Guatemala,14.58619,-90.53,1491,convencional
16,LA FRAGUA,INS190201CV,Zacapa,Estanzuela,14.96553,-89.58,227,convencional
17,LA UNIÓN,INS190901CV,Zacapa,La Unión,14.9633333,-89.29,1000,convencional
18,LABOR OVALLE,INS090301CV,Quetzaltenango,Olintepeque,14.871334,-91.51,2380,convencional
19,LAS VEGAS PHC,INS180201CV,Izabal,Livingston,15.585416,-88.94,10,convencional
20,LOS ALBORES,INS020301CV,El Progreso,San Agustín Acasaguastlán,15.0525,-89.95,1391,convencional
21,LOS ALTOS,INS090101CV,Quetzaltenango,Quetzaltenango,14.8599015,-91.51,2389,convencional
22,LOS ESCLAVOS,INS060101CV,Santa Rosa,Cuilapa,14.2528,-90.28,737,convencional
23,MAZATENANGO,INS100101CV,Suchitepéquez,Mazatenango,14.5283333,-91.5,352,convencional
24,MONTUFAR,INS221401CV,Jutiapa,Moyuta,13.80853,-90.15,29,convencional
25,NEBAJ,INS141301CV,Quiché,Nebaj,15.399247,-91.14,1906,convencional
26,PANZOS PHC ALTAVERAPAZ,INS160701CV,Alta Verapaz,Panzós,15.3974,-89.64,33,convencional
27,PASABIEN,INS190301CV,Zacapa,Río Hondo,15.030222,-89.68,260,convencional
28,POTRERO CARRILLO,INS210101CV,Jalapa,Jalapa,14.74996,-89.93,1760,convencional
29,PUERTO BARRIOS PHC,INS180101CV,Izabal,Puerto Barrios,15.730161,-88.58,2,convencional
30,QUEZADA,INS221701CV,Jutiapa,Quesada,14.232852,-90.04,980,convencional
31,RETALHULEU AEROPUERTO,INS110101CV,Retalhuleu,Retalhuleu,14.52486,-91.69,205,convencional
32,SABANA GRANDE,INS050101CV,Escuintla,Escuintla,14.373773,-90.83,730,convencional
33,SACAPULAS,INS141601CV,Quiché,Sacapulas,15.290621,-91.09,1180,convencional
34,SAN AGUSTÍN ACASAGUASTLÁN,INS020302CV,El Progreso,San Agustín Acasaguastlán,14.9502817,-89.97,371,convencional
35,SAN JERÓNIMO R.H.,INS150701CV,Baja Verapaz,San Jerónimo,15.060903,-90.25,1000,convencional
36,SAN MARCOS PHC,INS120101CV,San Marcos,San Marcos,14.96715,-91.82,2420,convencional
37,SAN MARTÍN JILOTEPEQUE,INS040301CV,Chimaltenango,San Martín Jilotepeque,14.777474,-90.79,1800,convencional
38,SAN PEDRO NECTA,INS130601CV,Huehuetenango,San Pedro Nécta,15.49459,-91.76,1641,convencional
39,SANTA CRUZ BALANYÁ,INS041001CV,Chimaltenango,Santa Cruz Balanyá,14.683227,-90.92,2080,convencional
40,SANTA MARÍA CAHABÓN,INS161201CV,Alta Verapaz,Cahabón,15.608429,-89.81,380,convencional
41,SANTIAGO ATITLÁN,INS071901CV,Sololá,Santiago Atitlán,14.630858,-91.23,1569,convencional
42,SUIZA CONTENTA,INS030801CV,Sacatepéquez,San Lucas Sacatepéquez,14.618572,-90.66,2105,convencional
43,TECÚN UMÁN FEGUA AYUTLA,INS121701CV,San Marcos,Ayutla,14.70195,-92.13,29,convencional
44,TODOS SANTOS,INS131501CV,Huehuetenango,Todos Santos Cuchumatán,15.5080222,-91.6,2480,convencional
45,POPTÚN,INS171201CV,Petén,Poptún,16.32566,-89.41,479,convencional
46,SAN JOSÉ AEROPUERTO,INS050901CV,Escuintla,San José,13.936665,-90.84,6,convencional
